PFID Old Name,PFID New Name,Annotation,Map_Name,Map Link,Enzyme,E C,Synonyms List
PFA0160c,PF3D7_0103200,nucleoside transporter 4,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,nucleoside transporter 4, ,
PFA0160c,PF3D7_0103200,nucleoside transporter 4,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,nucleoside transporter 4_ putative PfNT4, ,
PFA0160c,PF3D7_0103200,nucleoside transporter 4,Transporters of the plasma membrane,http://mpmp.huji.ac.il/maps/PPM.html,Nucleosides, ,
PFA0160c,PF3D7_0103200,nucleoside transporter 4,Genes coding for transport proteins,http://mpmp.huji.ac.il/maps/transporters.html,Nucleoside transporter, ,
PFA0160c,PF3D7_0103200,nucleoside transporter 4,The phosphoproteome of Plasmodium falciparum infected RBCs,http://mpmp.huji.ac.il/maps/phosphopr.html,Nucleoside transporter, ,
PFA0160c,PF3D7_0103200,nucleoside transporter 4,Proteins of detergent-resistant membranes,http://mpmp.huji.ac.il/maps/DRM_prot.html,nucleoside transporter 4 NT4, ,
PFA0170c,PF3D7_0103400,zinc-carboxypeptidase_ putative,Peptidases and proteases,http://mpmp.huji.ac.il/maps/proteases.html,zinc-carboxypeptidase_ putative,3.4.17.10,carboxypeptidase H_ cobalt-stimulated chromaffin granule carboxypeptidase_ enkephalin convertase_ enkephalin precursor carboxypeptidase_ enkephalin-precursor endopeptidase_ insulin granule-associated carboxypeptidase_ membrane-bound carboxypeptidase_ peptidyl-L-lysine(-L-arginine) hydrolase_ 
PFA0170c,PF3D7_0103400,zinc-carboxypeptidase_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,zinc-carboxypeptidase_ putative, ,
PFA0180w,PF3D7_0103600,ATP-dependent RNA helicase_ putative,Splicing of pre-mRNA,http://mpmp.huji.ac.il/maps/splicing.html,ATP-dependant RNA helicase,3.6.5.2,
PFA0190c,PF3D7_0103800,actin-related protein,Centrosome proteins,http://mpmp.huji.ac.il/maps/centrosome.html,actin-related protein 1 A_ ARP1, ,
PFA0195w,PF3D7_0103900,parasite-infected erythrocyte surface protein,Parasite encoded proteins associated with the membrane of infected erythrocytes,http://mpmp.huji.ac.il/maps/iRBC_prots.html,parasite-infected erythrocyte surface protein_ PIEPS15, ,
PFA0195w,PF3D7_0103900,parasite-infected erythrocyte surface protein,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,parasite-infected erythrocyte surface protein, ,
PFA0195w,PF3D7_0103900,parasite-infected erythrocyte surface protein,Rab and other proteins involved in intracellular traffic,http://priweb.cc.huji.ac.il/malaria//maps/rabIntracellular.html,ERGIC-53, ,
PFA0200w,PF3D7_0104000,thrombospondin-related sporozoite protein,Components of the linear motor responsible for merozoite motility in invasion,http://mpmp.huji.ac.il/maps/linearMotor.html,TRAP, ,
PFA0200w,PF3D7_0104000,thrombospondin-related sporozoite protein,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,hypothetical protein; Pb putative thrombospondin-related sporozoite protein, ,
PFA0210c,PF3D7_0104200,StAR-related lipid transfer protein,Phosphatidylethanolamine and phosphatidylserine metabolism,http://mpmp.huji.ac.il/maps/phserine.html,phospholipid transfer protein, ,
PFA0210c,PF3D7_0104200,StAR-related lipid transfer protein,Sphingomyelin and ceramide metabolism,http://mpmp.huji.ac.il/maps/sphingometpath.html,phospholipid transfer protein, ,
PFA0210c,PF3D7_0104200,StAR-related lipid transfer protein,Phosphatidylcholine metabolism,http://mpmp.huji.ac.il/maps/phcholine.html,phospholipid transfer protein, ,
PFA0210c,PF3D7_0104200,StAR-related lipid transfer protein,Inositol Phosphate metabolism,http://mpmp.huji.ac.il/maps/inosiPhosphmetpath.html,phospholipid transfer protein, ,
PFA0220w,PF3D7_0104300,ubiquitin carboxyl-terminal hydrolase 1_ putative,A model for UbpX function in the regulation of PCNA deubiquitylation,http://mpmp.huji.ac.il/maps/PCNA_UB.html,USP1, ,
PFA0220w,PF3D7_0104300,ubiquitin carboxyl-terminal hydrolase 1_ putative,Model for translesion DNA synthesis,http://mpmp.huji.ac.il/maps/DNA_transles.html,USP1,3.4.19.12,ubiquitin C-terminal hydrolase_ yeast ubiquitin hydrolase_ 
PFA0220w,PF3D7_0104300,ubiquitin carboxyl-terminal hydrolase 1_ putative,Genes coding for components of the proteasome degradation machinery & their timed transcription,http://mpmp.huji.ac.il/maps/proteasome_new.html,Ubiquitin carboxyl-terminal hydrolase_ putative; Nuclear signal,3.4.19.12,ubiquitin C-terminal hydrolase_ yeast ubiquitin hydrolase_ 
PFA0220w,PF3D7_0104300,ubiquitin carboxyl-terminal hydrolase 1_ putative,Nuclear genes with mitochondrial signal sequences,http://mpmp.huji.ac.il/maps/nuclearGenes.html,Ubiquitin carboxyl-terminal hydrolase,3.4.19.12,ubiquitin C-terminal hydrolase_ yeast ubiquitin hydrolase_ 
PFA0220w,PF3D7_0104300,ubiquitin carboxyl-terminal hydrolase 1_ putative,Peptidases and proteases,http://mpmp.huji.ac.il/maps/proteases.html,ubiquitin carboxyl-terminal hydrolase_ putative,3.4.19.12,ubiquitin C-terminal hydrolase_ yeast ubiquitin hydrolase_ 
PFA0220w,PF3D7_0104300,ubiquitin carboxyl-terminal hydrolase 1_ putative,Model of the Ube2w/CHIP/Ataxin-3 Ubiquitination Cycle,http://mpmp.huji.ac.il/maps/CHIP_Atx-3.html,Ubiquitinyl hydrolase,3.4.19.12,ubiquitin C-terminal hydrolase_ yeast ubiquitin hydrolase_ 
PFA0220w,PF3D7_0104300,ubiquitin carboxyl-terminal hydrolase 1_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,ubiquitin carboxyl-terminal hydrolase_ putative, ,
PFA0220w,PF3D7_0104300,ubiquitin carboxyl-terminal hydrolase 1_ putative,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,ubiquitin carboxyl-terminal hydrolase_ putative, ,
PFA0225w,PF3D7_0104400,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,S-Glutathionylated proteins,http://mpmp.huji.ac.il/maps/gluth_prot.html,4-hydroxy-3-methylbut-2-enyl diphosphate reductase_ LytB,1.17.1.2,
PFA0225w,PF3D7_0104400,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,LytB protein_ 4-hydroxy-3-methylbut-2-enyl diphosphate reductase,1.17.1.2,
PFA0225w,PF3D7_0104400,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Isoprenoids metabolism,http://mpmp.huji.ac.il/maps/isoprenoidmetpath.html,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,1.17.1.2,
PFA0240w,PF3D7_0104700,transporter_ putative,Genes coding for transport proteins,http://mpmp.huji.ac.il/maps/transporters.html,Transporter_ putative, ,
PFA0245w,PF3D7_0104800,novel putative transporter 1,Genes coding for transport proteins,http://mpmp.huji.ac.il/maps/transporters.html,Transporter_ putative, ,
PFA0245w,PF3D7_0104800,novel putative transporter 1,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,transporter_ putative, ,
PFA0245w,PF3D7_0104800,novel putative transporter 1,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,novel putative transporter 1, ,
PFA0245w,PF3D7_0104800,novel putative transporter 1,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,transporter_ putative, ,
PFA0245w,PF3D7_0104800,novel putative transporter 1,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,novel putative transporter 1, ,
PFA0260c,PF3D7_0105300,cyclase-associated protein_ putative,Actin and filaments,http://mpmp.huji.ac.il/maps/actin.html,CAP-like, ,
PFA0280w,PF3D7_0105700,asparagine-rich antigen Pfa35-2,S-Glutathionylated proteins,http://mpmp.huji.ac.il/maps/gluth_prot.html,Asparagine-rich antigen Pfa35-2, ,
PFA0280w,PF3D7_0105700,asparagine-rich antigen Pfa35-2,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,asparagine-rich antigen Pfa35-2, ,
PFA0280w,PF3D7_0105700,asparagine-rich antigen Pfa35-2,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,asparagine-rich antigen Pfa35-2, ,
PFA0290w,PF3D7_0105900,DNA binding protein_ putative,Genes coding for enzymes/proteins involved in DNA replication,http://mpmp.huji.ac.il/maps/DNAgenes.html,DNA binding protein_ putative, ,
PFA0290w,PF3D7_0105900,DNA binding protein_ putative,DNA mismatch repair system,http://mpmp.huji.ac.il/maps/DNArepair.html,3_-5� exonuclease,3.1.11.1,E. coli exonuclease I_ Escherichia coli exonuclease I_ exonuclease I_ 
PFA0290w,PF3D7_0105900,DNA binding protein_ putative,Base excision repair of AP sites,http://mpmp.huji.ac.il/maps/baseExcision.html,3_-exonuclease,3.1.11.2,E. coli exonuclease III_ endoribonuclease III_ Escherichia coli exonuclease III_ 
PFA0290w,PF3D7_0105900,DNA binding protein_ putative,DNA Replication,http://mpmp.huji.ac.il/maps/dnareplication.html,Single-stranded Binding proteins, ,
PFA0290w,PF3D7_0105900,DNA binding protein_ putative,Genes involved in excision-repair,http://mpmp.huji.ac.il/maps/ExcisionRepairTab.html,DNA binding protein_ putative; 3_-5_ exonuclease domain,3.1.11.1,E. coli exonuclease I_ Escherichia coli exonuclease I_ exonuclease I_ 
PFA0290w,PF3D7_0105900,DNA binding protein_ putative,ATP-dependent chromatin remodeling complexes,http://mpmp.huji.ac.il/maps/chrom_remod.html,DNA binding protein, ,
PFA0300c,PF3D7_0106100,vacuolar ATP synthase subunit c_ putative,Genes coding for transport proteins,http://mpmp.huji.ac.il/maps/transporters.html,V-type ATPase_ subunit C_ putative,3.6.3.14,ATP synthase_ bacterial Ca2+/Mg2+ ATPase_ chloroplast ATPase_ coupling factors (F0_ F1 and CF1)_ F(o)F1-ATPase_ F1-ATPase_ H+-transporting ATPase_ mitochondrial ATPase_ 
PFA0300c,PF3D7_0106100,vacuolar ATP synthase subunit c_ putative,Transporters of the plasma membrane,http://mpmp.huji.ac.il/maps/PPM.html,H+-pump (ATP),3.6.3.14,ATP synthase_ bacterial Ca2+/Mg2+ ATPase_ chloroplast ATPase_ coupling factors (F0_ F1 and CF1)_ F(o)F1-ATPase_ F1-ATPase_ H+-transporting ATPase_ mitochondrial ATPase_ 
PFA0300c,PF3D7_0106100,vacuolar ATP synthase subunit c_ putative,The acidocalcisome,http://priweb.cc.huji.ac.il/malaria//maps/acidocalcisome.html,H+-pump (ATP) V-type,3.6.3.14,ATP synthase_ bacterial Ca2+/Mg2+ ATPase_ chloroplast ATPase_ coupling factors (F0_ F1 and CF1)_ F(o)F1-ATPase_ F1-ATPase_ H+-transporting ATPase_ mitochondrial ATPase_ 
PFA0300c,PF3D7_0106100,vacuolar ATP synthase subunit c_ putative,Transporters of the ER/Golgi and digestive vacuole membranes,http://mpmp.huji.ac.il/maps/ERGolgiVacuole.html,H+-pump (ATP) V-type,3.6.3.14,ATP synthase_ bacterial Ca2+/Mg2+ ATPase_ chloroplast ATPase_ coupling factors (F0_ F1 and CF1)_ F(o)F1-ATPase_ F1-ATPase_ H+-transporting ATPase_ mitochondrial ATPase_ 
PFA0300c,PF3D7_0106100,vacuolar ATP synthase subunit c_ putative,ATP synthase complex,http://mpmp.huji.ac.il/maps/ATP_synt.html,V-type ATPase_ subunit C_ putative, ,
PFA0300c,PF3D7_0106100,vacuolar ATP synthase subunit c_ putative,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,v-type ATPase_ subunit C_ putative, ,
PFA0300c,PF3D7_0106100,vacuolar ATP synthase subunit c_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,vacuolar ATP synthase subunit c_ putative, ,
PFA0310c,PF3D7_0106300,calcium-transporting ATPase,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,calcium-transporting ATPase, ,
PFA0310c,PF3D7_0106300,calcium-transporting ATPase,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,calcium-transporting ATPase_ putative, ,
PFA0310c,PF3D7_0106300,calcium-transporting ATPase,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,calcium-transporting ATPase,3.6.3.8,Ca2+-pumping ATPase_ calcium pump_ plasma membrane Ca-ATPase_ sarco(endo)plasmic reticulum Ca2+-ATPase_ sarcoplasmic reticulum ATPase_ 
PFA0310c,PF3D7_0106300,calcium-transporting ATPase,Transporters of the ER/Golgi and digestive vacuole membranes,http://mpmp.huji.ac.il/maps/ERGolgiVacuole.html,Ca2+ ER,3.6.3.8,Ca2+-pumping ATPase_ calcium pump_ plasma membrane Ca-ATPase_ sarco(endo)plasmic reticulum Ca2+-ATPase_ sarcoplasmic reticulum ATPase_ 
