Orthogroup	PbergheiANKA	Pfalciparum3D7
OG0000035	PBANKA_0928700	PF3D7_1119400
OG0000037	PBANKA_1419800	PF3D7_1321500
OG0000038	PBANKA_1029900	PF3D7_1412700
OG0000038	PBANKA_1221600	PF3D7_0711000
OG0000038	PBANKA_1118600	PF3D7_0619400
OG0000042	PBANKA_0511800	PF3D7_1027700
OG0000042	PBANKA_0206300	PF3D7_0107000
OG0000042	PBANKA_1310400	PF3D7_1446600
OG0000044	PBANKA_1305900	PF3D7_1442000
OG0000044	PBANKA_0518500	PF3D7_1034700
OG0000044	PBANKA_0505100	PF3D7_1020900
OG0000046	PBANKA_1331700	PF3D7_1468400
OG0000046	PBANKA_0712700	PF3D7_0818100
OG0000047	PBANKA_1109000	PF3D7_0509400
OG0000047	PBANKA_1344000	PF3D7_1329000
OG0000047	PBANKA_0807000	PF3D7_0318200
OG0000049	PBANKA_1451600	PF3D7_1237000
OG0000049	PBANKA_0713800	PF3D7_0817000
OG0000049	PBANKA_1440700	PF3D7_1225800
OG0000050	PBANKA_1018100	PF3D7_1426500
OG0000051	PBANKA_0901900	PF3D7_1147200
OG0000051	PBANKA_1113700	PF3D7_0514000
OG0000051	PBANKA_1208000	PF3D7_1009700
OG0000053	PBANKA_0305100	PF3D7_0208000
OG0000053	PBANKA_0305100	PF3D7_0207600
OG0000053	PBANKA_0305100	PF3D7_0207700
OG0000053	PBANKA_0305100	PF3D7_0207800
OG0000053	PBANKA_0305100	PF3D7_0207900
OG0000053	PBANKA_0305000	PF3D7_0208000
OG0000053	PBANKA_0305000	PF3D7_0207600
OG0000053	PBANKA_0305000	PF3D7_0207700
OG0000053	PBANKA_0305000	PF3D7_0207800
OG0000053	PBANKA_0305000	PF3D7_0207900
OG0000053	PBANKA_0304800	PF3D7_0207400
OG0000053	PBANKA_0304900	PF3D7_0207500
OG0000054	PBANKA_0818900	PF3D7_0917900
OG0000054	PBANKA_0711900	PF3D7_0831700
OG0000054	PBANKA_0711900	PF3D7_0818900
OG0000054	PBANKA_0914400	PF3D7_1134000
OG0000055	PBANKA_0911300	PF3D7_1137400
OG0000056	PBANKA_1202700	PF3D7_1004400
OG0000056	PBANKA_1232100	PF3D7_0517300
OG0000056	PBANKA_0506600	PF3D7_1022400
OG0000059	PBANKA_0826200	PF3D7_0925400
OG0000059	PBANKA_0412100	PF3D7_0314400
OG0000059	PBANKA_0828500	PF3D7_0927700
OG0000061	PBANKA_1133300	PF3D7_1357000
OG0000061	PBANKA_1133300	PF3D7_1357100
OG0000061	PBANKA_1133400	PF3D7_1357000
OG0000061	PBANKA_1133400	PF3D7_1357100
OG0000061	PBANKA_0924900	PF3D7_1123400
OG0000063	PBANKA_0916200	PF3D7_1132200
OG0000063	PBANKA_0406500	PF3D7_0308200
OG0000063	PBANKA_0405200	PF3D7_0306800
OG0000064	PBANKA_1135600	PF3D7_1359300
OG0000064	PBANKA_1230100	PF3D7_0615400
OG0000064	PBANKA_0415300	PF3D7_0906000
OG0000065	PBANKA_1329100	PF3D7_1465700
OG0000065	PBANKA_0409700	PF3D7_0311700
OG0000065	PBANKA_1014500	PF3D7_1430200
OG0000065	PBANKA_1222500	PF3D7_0808200
OG0000066	PBANKA_0805700	PF3D7_0708400
OG0000066	PBANKA_1437300	PF3D7_1222300
OG0000066	PBANKA_1307800	PF3D7_1443900
OG0000067	PBANKA_1454100	PF3D7_1239700
OG0000067	PBANKA_1328300	PF3D7_1464900
OG0000067	PBANKA_0928500	PF3D7_1119600
OG0000070	PBANKA_0917900	PF3D7_1130400
OG0000070	PBANKA_0715600	PF3D7_0413600
OG0000070	PBANKA_1206600	PF3D7_1008400
OG0000071	PBANKA_1318800	PF3D7_1455100
OG0000072	PBANKA_1407700	PF3D7_1309200
OG0000072	PBANKA_1427200	PF3D7_0810300
OG0000073	PBANKA_1117100	PF3D7_0617900
OG0000073	PBANKA_0108800	PF3D7_0610400
OG0000073	PBANKA_1348400	PF3D7_1333700
OG0000074	PBANKA_1016000	PF3D7_1428700
OG0000074	PBANKA_1447000	PF3D7_1232300
OG0000074	PBANKA_0819100	PF3D7_0918100
OG0000075	PBANKA_1430100	PF3D7_1214300
OG0000075	PBANKA_0901600	PF3D7_1147500
OG0000075	PBANKA_0101300	PF3D7_0602500
OG0000077	PBANKA_0920800	PF3D7_1127600
OG0000077	PBANKA_1125200	PF3D7_0626400
OG0000078	PBANKA_1014800	PF3D7_1429900
OG0000078	PBANKA_0819500	PF3D7_0918600
OG0000079	PBANKA_1225600	PF3D7_0805000
OG0000079	PBANKA_1001500	PF3D7_0403800
OG0000080	PBANKA_1018400	PF3D7_1426200
OG0000080	PBANKA_1426000	PF3D7_0811500
OG0000081	PBANKA_0932400	PF3D7_1115300
OG0000081	PBANKA_0932400	PF3D7_1115700
OG0000081	PBANKA_0932400	PF3D7_1115400
OG0000081	PBANKA_1321700	PF3D7_1458000
OG0000083	PBANKA_0804300	PF3D7_0706700
OG0000083	PBANKA_1017100	PF3D7_1427500
OG0000083	PBANKA_1105100	PF3D7_0505500
OG0000084	PBANKA_0501300	PF3D7_1017000
OG0000084	PBANKA_0613200	PF3D7_0411900
OG0000086	PBANKA_0940600	PF3D7_1106300
OG0000086	PBANKA_0810600	PF3D7_0909400
OG0000087	PBANKA_1349200	PF3D7_1334600
OG0000087	PBANKA_1349100	PF3D7_1335100
OG0000087	PBANKA_1349100	PF3D7_1335000
OG0000087	PBANKA_1349000	PF3D7_1334800
OG0000087	PBANKA_1349000	PF3D7_1334300
OG0000090	PBANKA_0311800	PF3D7_0215000
OG0000091	PBANKA_1319500	PF3D7_1455800
OG0000091	PBANKA_1300700	PF3D7_1475500
OG0000093	PBANKA_1443800	PF3D7_1229100
OG0000094	PBANKA_1007200	PF3D7_0409600
OG0000094	PBANKA_0416600	PF3D7_0904800
OG0000095	PBANKA_1117700	PF3D7_0618500
OG0000095	PBANKA_1340400	PF3D7_1325200
OG0000095	PBANKA_1340100	PF3D7_1324900
OG0000096	PBANKA_1400600	PF3D7_0831600
OG0000096	PBANKA_1400600	PF3D7_0220800
OG0000096	PBANKA_1400600	PF3D7_0302200
OG0000096	PBANKA_1400600	PF3D7_0302500
OG0000097	PBANKA_0205900	PF3D7_0107500
OG0000099	PBANKA_0923200	PF3D7_1125100
OG0000099	PBANKA_0702100	PF3D7_0828600
OG0000099	PBANKA_0931500	PF3D7_1116500
OG0000101	PBANKA_0522900	PF3D7_0422500
OG0000101	PBANKA_1303000	PF3D7_1439100
OG0000102	PBANKA_0716500	PF3D7_0414500
OG0000107	PBANKA_0403100	PF3D7_0304500
OG0000107	PBANKA_1219700	PF3D7_0709200
OG0000107	PBANKA_0105500	PF3D7_0606900
OG0000108	PBANKA_0607400	PF3D7_1208900
OG0000109	PBANKA_0932100	PF3D7_1115900
OG0000109	PBANKA_0833300	PF3D7_0932500
OG0000110	PBANKA_1244300	PF3D7_0529900
OG0000110	PBANKA_0412400	PF3D7_0314700
OG0000111	PBANKA_1441100	PF3D7_1226300
OG0000111	PBANKA_0517200	PF3D7_1033400
OG0000112	PBANKA_0812400	PF3D7_0911300
OG0000112	PBANKA_0615900	PF3D7_0718300
OG0000115	PBANKA_0100900	PF3D7_0602100
OG0000115	PBANKA_0811100	PF3D7_0909900
OG0000117	PBANKA_0501000	PF3D7_1252400
OG0000117	PBANKA_0501000	PF3D7_1335300
OG0000117	PBANKA_0501000	PF3D7_1335400
OG0000117	PBANKA_0524841	PF3D7_1252400
OG0000117	PBANKA_0524841	PF3D7_1335300
OG0000117	PBANKA_0524841	PF3D7_1335400
OG0000117	PBANKA_1000100	PF3D7_1252400
OG0000117	PBANKA_1000100	PF3D7_1335300
OG0000117	PBANKA_1000100	PF3D7_1335400
OG0000117	PBANKA_0944041	PF3D7_1252400
OG0000117	PBANKA_0944041	PF3D7_1335300
OG0000117	PBANKA_0944041	PF3D7_1335400
OG0000117	PBANKA_0600351	PF3D7_1252400
OG0000117	PBANKA_0600351	PF3D7_1335300
OG0000117	PBANKA_0600351	PF3D7_1335400
OG0000117	PBANKA_0800021	PF3D7_1252400
OG0000117	PBANKA_0800021	PF3D7_1335300
OG0000117	PBANKA_0800021	PF3D7_1335400
OG0000117	PBANKA_0316981	PF3D7_1252400
OG0000117	PBANKA_0316981	PF3D7_1335300
OG0000117	PBANKA_0316981	PF3D7_1335400
OG0000117	PBANKA_0900900	PF3D7_1252400
OG0000117	PBANKA_0900900	PF3D7_1335300
OG0000117	PBANKA_0900900	PF3D7_1335400
OG0000117	PBANKA_1000011	PF3D7_1252400
OG0000117	PBANKA_1000011	PF3D7_1335300
OG0000117	PBANKA_1000011	PF3D7_1335400
OG0000117	PBANKA_1400091	PF3D7_1252400
OG0000117	PBANKA_1400091	PF3D7_1335300
OG0000117	PBANKA_1400091	PF3D7_1335400
OG0000117	PBANKA_0216801	PF3D7_1252400
OG0000117	PBANKA_0216801	PF3D7_1335300
OG0000117	PBANKA_0216801	PF3D7_1335400
OG0000117	PBANKA_0316600	PF3D7_1252400
OG0000117	PBANKA_0316600	PF3D7_1335300
OG0000117	PBANKA_0316600	PF3D7_1335400
OG0000117	PBANKA_0700900	PF3D7_1252400
OG0000117	PBANKA_0700900	PF3D7_1335300
OG0000117	PBANKA_0700900	PF3D7_1335400
OG0000118	PBANKA_0600400	PF3D7_1463500
OG0000118	PBANKA_0800200	PF3D7_1463500
OG0000118	PBANKA_0201400	PF3D7_1463500
OG0000118	PBANKA_1100900	PF3D7_1463500
OG0000118	PBANKA_0623500	PF3D7_1463500
OG0000118	PBANKA_1327021	PF3D7_1463500
OG0000118	PBANKA_1327251	PF3D7_1463500
OG0000118	PBANKA_1327300	PF3D7_1463500
OG0000119	PBANKA_1239900	PF3D7_0525100
OG0000119	PBANKA_1453300	PF3D7_1238800
OG0000120	PBANKA_0910300	PF3D7_1138400
OG0000121	PBANKA_1357300	PF3D7_1344300
OG0000121	PBANKA_0810900	PF3D7_0909700
OG0000122	PBANKA_1023400	PF3D7_1419800
OG0000122	PBANKA_0824700	PF3D7_0923800
OG0000124	PBANKA_1103600	PF3D7_0504000
OG0000125	PBANKA_0823800	PF3D7_0922900
OG0000127	PBANKA_0922600	PF3D7_1125700
OG0000127	PBANKA_0922500	PF3D7_1125800
OG0000127	PBANKA_1429200	PF3D7_1213400
OG0000129	PBANKA_1218200	PF3D7_0320300
OG0000129	PBANKA_1444100	PF3D7_1229500
OG0000130	PBANKA_1413600	PF3D7_1315100
OG0000130	PBANKA_1318000	PF3D7_1454300
OG0000131	PBANKA_0921600	PF3D7_1126800
OG0000131	PBANKA_1103000	PF3D7_0503300
OG0000132	PBANKA_1315300	PF3D7_1451600
OG0000132	PBANKA_0204500	PF3D7_0109100
OG0000133	PBANKA_0824200	PF3D7_0923300
OG0000133	PBANKA_1432400	PF3D7_1216700
OG0000133	PBANKA_1006300	PF3D7_0408700
OG0000136	PBANKA_1320900	PF3D7_1457200
OG0000136	PBANKA_0826300	PF3D7_0925500
OG0000137	PBANKA_0312400	PF3D7_0215700
OG0000137	PBANKA_0605200	PF3D7_1206600
OG0000138	PBANKA_1410000	PF3D7_1311500
OG0000138	PBANKA_1461800	PF3D7_1248900
OG0000139	PBANKA_0610800	PF3D7_1438000
OG0000139	PBANKA_0503200	PF3D7_1019000
OG0000140	PBANKA_0523100	PF3D7_0422700
OG0000140	PBANKA_1331900	PF3D7_1468700
OG0000142	PBANKA_1227000	PF3D7_0803200
OG0000142	PBANKA_1012000	PF3D7_1432900
OG0000143	PBANKA_1242700	PF3D7_0528100
OG0000143	PBANKA_0214300	PF3D7_0730200
OG0000144	PBANKA_1035400	PF3D7_1406800
OG0000144	PBANKA_0523900	PF3D7_0423500
OG0000145	PBANKA_0310000	PF3D7_0213100
OG0000145	PBANKA_0214800	PF3D7_0501100
OG0000146	PBANKA_0506200	PF3D7_1022000
OG0000146	PBANKA_0707400	PF3D7_0823200
OG0000147	PBANKA_1016100	PF3D7_1428600
OG0000147	PBANKA_0833200	PF3D7_0932400
OG0000147	PBANKA_0802600	PF3D7_0704900
OG0000149	PBANKA_0711300	PF3D7_0819500
OG0000149	PBANKA_0503000	PF3D7_1018800
OG0000150	PBANKA_0817000	PF3D7_0916000
OG0000152	PBANKA_0930200	PF3D7_1117800
OG0000152	PBANKA_0210400	PF3D7_0726300
OG0000153	PBANKA_0912100	PF3D7_1136500
OG0000154	PBANKA_1115500	PF3D7_0515900
OG0000158	PBANKA_1122700	PF3D7_0623800
OG0000159	PBANKA_1346600	PF3D7_1331700
OG0000159	PBANKA_1362000	PF3D7_1349200
OG0000160	PBANKA_1326800	PF3D7_1463200
OG0000160	PBANKA_0314700	PF3D7_0218000
OG0000161	PBANKA_0703600	PF3D7_0827100
OG0000161	PBANKA_0105600	PF3D7_0607000
OG0000162	PBANKA_0609900	PF3D7_1211400
OG0000162	PBANKA_1345300	PF3D7_1330300
OG0000163	PBANKA_1422700	PF3D7_0814900
OG0000163	PBANKA_1122400	PF3D7_0623500
OG0000164	PBANKA_0512300	PF3D7_1028200
OG0000165	PBANKA_1318700	PF3D7_1455000
OG0000166	PBANKA_1329500	PF3D7_1466100
OG0000166	PBANKA_0502500	PF3D7_1018200
OG0000167	PBANKA_1447700	PF3D7_1233000
OG0000167	PBANKA_0101200	PF3D7_0602400
OG0000168	PBANKA_0702700	PF3D7_0828000
OG0000168	PBANKA_0933500	PF3D7_1114100
OG0000172	PBANKA_0906300	PF3D7_1142700
OG0000173	PBANKA_0512000	PF3D7_1027900
OG0000173	PBANKA_1243000	PF3D7_0528400
OG0000174	PBANKA_0308500	PF3D7_0211700
OG0000175	PBANKA_1436200	PF3D7_1221000
OG0000176	PBANKA_1025500	PF3D7_1417200
OG0000176	PBANKA_0943100	PF3D7_1103800
OG0000177	PBANKA_1304100	PF3D7_1440300
OG0000177	PBANKA_1304200	PF3D7_1440200
OG0000178	PBANKA_0939500	PF3D7_1107400
OG0000178	PBANKA_0714000	PF3D7_0816800
OG0000179	PBANKA_0931300	PF3D7_1116700
OG0000179	PBANKA_1460700	PF3D7_1247800
OG0000180	PBANKA_1128500	PF3D7_0629700
OG0000181	PBANKA_0806000	PF3D7_0319300
OG0000181	PBANKA_1424900	PF3D7_0812600
OG0000182	PBANKA_0903400	PF3D7_1145600
OG0000182	PBANKA_0308300	PF3D7_0211500
OG0000185	PBANKA_0709300	PF3D7_0821500
OG0000185	PBANKA_1440400	PF3D7_1225500
OG0000186	PBANKA_0407900	PF3D7_0309800
OG0000186	PBANKA_1023300	PF3D7_1419900
OG0000187	PBANKA_1011600	PF3D7_1433300
OG0000187	PBANKA_0203000	PF3D7_0110700
OG0000188	PBANKA_1213700	PF3D7_1015300
OG0000188	PBANKA_1242100	PF3D7_0527300
OG0000189	PBANKA_1214000	PF3D7_1015600
OG0000189	PBANKA_1446800	PF3D7_1232100
OG0000190	PBANKA_1135200	PF3D7_1358900
OG0000190	PBANKA_1239200	PF3D7_0524400
OG0000191	PBANKA_1237900	PF3D7_0523100
OG0000191	PBANKA_0834400	PF3D7_0933600
OG0000192	PBANKA_1420600	PF3D7_0714000
OG0000192	PBANKA_0941800	PF3D7_1105100
OG0000193	PBANKA_1135700	PF3D7_1359400
OG0000193	PBANKA_1032700	PF3D7_1409800
OG0000194	PBANKA_0835800	PF3D7_0935000
OG0000194	PBANKA_1405400	PF3D7_1306900
OG0000195	PBANKA_0940900	PF3D7_1106000
OG0000195	PBANKA_1427700	PF3D7_0809700
OG0000198	PBANKA_1431700	PF3D7_1216000
OG0000198	PBANKA_0615400	PF3D7_0717700
OG0000199	PBANKA_0943200	PF3D7_1103700
OG0000199	PBANKA_1355500	PF3D7_1342400
OG0000200	PBANKA_1238200	PF3D7_0523400
OG0000200	PBANKA_1224200	PF3D7_0806500
OG0000201	PBANKA_0601900	PF3D7_1202900
OG0000201	PBANKA_0712900	PF3D7_0817900
OG0000202	PBANKA_1124900	PF3D7_0626100
OG0000203	PBANKA_1027500	PF3D7_1415200
OG0000203	PBANKA_1403400	PF3D7_1304900
OG0000204	PBANKA_0603900	PF3D7_1205200
OG0000205	PBANKA_1424400	PF3D7_0813200
OG0000205	PBANKA_1350600	PF3D7_1336800
OG0000206	PBANKA_1109400	PF3D7_0509800
OG0000207	PBANKA_0704400	PF3D7_0301300
OG0000207	PBANKA_0704400	PF3D7_1401300
OG0000207	PBANKA_0704400	PF3D7_0826200
OG0000208	PBANKA_0712000	PF3D7_0818800
OG0000208	PBANKA_0822700	PF3D7_0921800
OG0000209	PBANKA_1427500	PF3D7_1001200
OG0000209	PBANKA_1427500	PF3D7_1001100
OG0000209	PBANKA_1427500	PF3D7_1477800
OG0000209	PBANKA_1427500	PF3D7_0810000
OG0000210	PBANKA_1450100	PF3D7_1235500
OG0000210	PBANKA_0213600	PF3D7_0729500
OG0000211	PBANKA_0907200	PF3D7_1141800
OG0000211	PBANKA_1234600	PF3D7_0519800
OG0000214	PBANKA_1104100	PF3D7_0504500
OG0000214	PBANKA_0720900	PF3D7_0418800
OG0000218	PBANKA_1354900	PF3D7_1341800
OG0000218	PBANKA_1120400	PF3D7_0621400
OG0000219	PBANKA_1432700	PF3D7_1217100
OG0000219	PBANKA_0511700	PF3D7_1027600
OG0000220	PBANKA_1302800	PF3D7_1438900
OG0000220	PBANKA_1430800	PF3D7_1215000
OG0000221	PBANKA_1111000	PF3D7_0511500
OG0000222	PBANKA_1311700	PF3D7_1447900
OG0000222	PBANKA_1364800	PF3D7_1352100
OG0000223	PBANKA_1213900	PF3D7_1015500
OG0000223	PBANKA_1447600	PF3D7_1232900
OG0000226	PBANKA_1448500	PF3D7_1233900
OG0000227	PBANKA_0811700	PF3D7_0910600
OG0000227	PBANKA_1339900	PF3D7_1324700
OG0000228	PBANKA_0522700	PF3D7_0422300
OG0000228	PBANKA_0417700	PF3D7_0903700
OG0000229	PBANKA_1402000	PF3D7_1303500
OG0000230	PBANKA_0932900	PF3D7_1114800
OG0000230	PBANKA_1431900	PF3D7_1216200
OG0000231	PBANKA_1033800	PF3D7_1408700
OG0000232	PBANKA_1233200	PF3D7_0518400
OG0000233	PBANKA_1141700	PF3D7_1365900
OG0000235	PBANKA_1461400	PF3D7_1248500
OG0000236	PBANKA_1127000	PF3D7_0628300
OG0000237	PBANKA_0710900	PF3D7_0819900
OG0000237	PBANKA_0315200	PF3D7_0218500
OG0000238	PBANKA_0308600	PF3D7_0211800
OG0000238	PBANKA_1109200	PF3D7_0509600
OG0000239	PBANKA_1243300	PF3D7_0528700
OG0000239	PBANKA_0931700	PF3D7_1116300
OG0000240	PBANKA_1027400	PF3D7_1415300
OG0000241	PBANKA_1237800	PF3D7_0523000
OG0000245	PBANKA_0308800	PF3D7_0212000
OG0000246	PBANKA_0819000	PF3D7_0918000
OG0000247	PBANKA_0832900	PF3D7_0932100
OG0000248	PBANKA_1209400	PF3D7_1011000
OG0000249	PBANKA_1338700	PF3D7_1323500
OG0000250	PBANKA_1204800	PF3D7_1006600
OG0000250	PBANKA_0519700	PF3D7_1036700
OG0000251	PBANKA_1123400	PF3D7_0624500
OG0000251	PBANKA_0806200	PF3D7_0319100
OG0000252	PBANKA_1034100	PF3D7_1408400
OG0000253	PBANKA_1346000	PF3D7_1331100
OG0000254	PBANKA_0409400	PF3D7_0311400
OG0000256	PBANKA_0501100	PF3D7_1240100
OG0000256	PBANKA_0501100	PF3D7_1102800
OG0000256	PBANKA_0501100	PF3D7_1102700
OG0000256	PBANKA_0501100	PF3D7_0202500
OG0000256	PBANKA_0501100	PF3D7_0423700
OG0000256	PBANKA_0524800	PF3D7_1240100
OG0000256	PBANKA_0524800	PF3D7_1102800
OG0000256	PBANKA_0524800	PF3D7_1102700
OG0000256	PBANKA_0524800	PF3D7_0202500
OG0000256	PBANKA_0524800	PF3D7_0423700
OG0000256	PBANKA_0524200	PF3D7_1240100
OG0000256	PBANKA_0524200	PF3D7_1102800
OG0000256	PBANKA_0524200	PF3D7_1102700
OG0000256	PBANKA_0524200	PF3D7_0202500
OG0000256	PBANKA_0524200	PF3D7_0423700
OG0000257	PBANKA_1229000	PF3D7_0801000
OG0000257	PBANKA_1229000	PF3D7_1016800
OG0000262	PBANKA_1359300	PF3D7_1346400
OG0000263	PBANKA_1360000	PF3D7_1347100
OG0000264	PBANKA_0939000	PF3D7_1107900
OG0000265	PBANKA_1218900	PF3D7_0319600
OG0000265	PBANKA_0814200	PF3D7_0913200
OG0000266	PBANKA_1420900	PF3D7_0714300
OG0000266	PBANKA_1419700	PF3D7_1321400
OG0000270	PBANKA_0910200	PF3D7_1138500
OG0000271	PBANKA_1035200	PF3D7_1407000
OG0000272	PBANKA_0615100	PF3D7_0717400
OG0000272	PBANKA_1455600	PF3D7_1242200
OG0000273	PBANKA_1302900	PF3D7_1439000
OG0000273	PBANKA_1021500	PF3D7_1421900
OG0000274	PBANKA_0616400	PF3D7_0718800
OG0000283	PBANKA_1410300	PF3D7_1311800
OG0000284	PBANKA_0211900	PF3D7_0727800
OG0000285	PBANKA_0718700	PF3D7_0416700
OG0000285	PBANKA_0401300	PF3D7_0302700
OG0000286	PBANKA_0717900	PF3D7_0416000
OG0000286	PBANKA_0830000	PF3D7_0929200
OG0000289	PBANKA_1036700	PF3D7_1405500
OG0000290	PBANKA_1033600	PF3D7_1408900
OG0000291	PBANKA_1203300	PF3D7_1005000
OG0000291	PBANKA_0518700	PF3D7_1034900
OG0000292	PBANKA_1433500	PF3D7_1217900
OG0000293	PBANKA_0926600	PF3D7_1121700
OG0000294	PBANKA_1314300	PF3D7_1450600
OG0000294	PBANKA_1459600	PF3D7_1246500
OG0000296	PBANKA_0929500	PF3D7_1118600
OG0000297	PBANKA_0933700	PF3D7_1113900
OG0000298	PBANKA_1438000	PF3D7_1223100
OG0000300	PBANKA_1020400	PF3D7_1423000
OG0000301	PBANKA_0816400	PF3D7_0915400
OG0000302	PBANKA_1223800	PF3D7_0806800
OG0000303	PBANKA_1131800	PF3D7_1355300
OG0000304	PBANKA_1310100	PF3D7_1446400
OG0000304	PBANKA_1104200	PF3D7_0504600
OG0000305	PBANKA_0706500	PF3D7_0824100
OG0000305	PBANKA_0302600	PF3D7_0204800
OG0000310	PBANKA_1317200	PF3D7_1453500
OG0000311	PBANKA_1224400	PF3D7_0806300
OG0000312	PBANKA_1411300	PF3D7_1312900
OG0000313	PBANKA_0212800	PF3D7_0728700
OG0000314	PBANKA_0405700	PF3D7_0307400
OG0000314	PBANKA_0612000	PF3D7_1436800
OG0000315	PBANKA_0606700	PF3D7_1208200
OG0000315	PBANKA_1300800	PF3D7_1475400
OG0000317	PBANKA_0801900	PF3D7_0704200
OG0000318	PBANKA_0703000	PF3D7_0827700
OG0000320	PBANKA_1037500	PF3D7_1404600
OG0000321	PBANKA_1429400	PF3D7_1213600
OG0000322	PBANKA_1332800	PF3D7_1469600
OG0000323	PBANKA_1205900	PF3D7_1007700
OG0000325	PBANKA_1137500	PF3D7_1361400
OG0000325	PBANKA_1103100	PF3D7_0503400
OG0000326	PBANKA_1326400	PF3D7_1462800
