Geneid	Chr	Start	End	Strand	Length	hisat2/Ap20-GFP-SFC-16h-R1.bam	hisat2/Ap20-GFP-SFC-16h-R2.bam	hisat2/Ap20-GFP-SFC-4h-R1.bam	hisat2/Ap20-GFP-SFC-4h-R2.bam	hisat2/Ap20-GFP-SFC-8h-R1.bam	hisat2/Ap20-GFP-SFC-8h-R2.bam	hisat2/GFPcon-16hr-R1.bam	hisat2/GFPcon-16hr-R2.bam	hisat2/GFPcon-4hr-R1.bam	hisat2/GFPcon-4hr-R2.bam	hisat2/GFPcon-8hr-R1_S9.bam	hisat2/GFPcon-8hr-R2.bam	hisat2/RM-10_S417.bam	hisat2/RM-1_S408.bam	hisat2/RM-2_S409.bam	hisat2/RM-3_S410.bam	hisat2/RM-4_S411.bam	hisat2/RM-5_S412.bam	hisat2/RM-6_S413.bam	hisat2/RM-7_S414.bam	hisat2/RM-8_S415.bam	hisat2/RM-9_S416.bam	hisat2/F-1_SRR5260552.bam	hisat2/F-2_SRR5260551.bam	hisat2/F-3_SRR5260550.bam	hisat2/F1_21725_8_4.bam	hisat2/F2_21725_8_5.bam	hisat2/F3_21725_8_6.bam
PBANKA_0932500	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	1181616;1181830;1182066;1182653;1182891;1183223;1184785	1181675;1181917;1182507;1182757;1183046;1184377;1184899	-;-;-;-;-;-;-	2121	143	423	864	661	801	423	531	616	2803	1	577	455	1	376	13956	2946	1254	155	252	415	42	83	79045	78114	80492	53934	59684	68690
PBANKA_1133100	PbANKA_11_v3	1238937	1249964	+	11028	64	222	644	418	620	226	201	67	401	3	341	222	6	619	22148	5684	2772	551	779	555	45	76	15980	15131	13518	48134	58444	68630
PBANKA_1444800	PbANKA_14_v3	1722600	1723937	-	1338	100	247	1272	1070	1179	381	316	182	6009	0	839	364	8	1187	10446	2916	1331	123	431	447	58	69	50948	52817	51398	59889	57509	68567
PBANKA_0801800	PbANKA_08_v3	97389	106340	+	8952	15	45	260	190	141	43	52	32	75	4	98	45	7	630	18752	4916	2563	359	723	327	21	25	16573	14576	13988	53592	57739	67418
PBANKA_1461300	PbANKA_14_v3	2319026	2319889	+	864	7650	25411	7232	4954	25354	4142	14843	3044	7804	0	8745	2624	79	4880	11264	3465	1739	534	635	5567	466	1012	50254	50273	49828	61975	53594	65117
PBANKA_1028200	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1148039;1148232;1148553;1148858;1154886	1148074;1148382;1148696;1154787;1154984	+;+;+;+;+	6360	405	1062	1708	1241	1593	718	1192	478	883	1	1043	655	28	3225	21165	5818	3027	1106	1958	3102	118	125	12724	11168	10406	50981	57328	64307
PBANKA_1115000	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	574057;574187;574374;574584;574849;575007	574070;574229;574438;574714;574910;576710	+;+;+;+;+;+	2019	118	278	466	297	579	188	751	146	251	2	454	182	18	777	19551	4963	2076	411	409	632	44	67	48034	40806	42177	52420	52284	64184
PBANKA_0705600	PbANKA_07_v3;PbANKA_07_v3	247831;248079	247900;252616	-;-	4608	56	157	248	153	177	82	124	52	164	4	107	74	7	351	20006	5255	2364	483	385	295	28	49	26211	25154	24552	49868	52932	63763
PBANKA_1334900	PbANKA_13_v3	1394663	1397173	+	2511	182	373	924	654	1368	522	1073	322	935	2	1105	383	6	1485	17075	4679	2804	700	785	1218	119	139	45048	43341	38823	47887	54848	63123
PBANKA_0523900	PbANKA_05_v3;PbANKA_05_v3	880573;881345	881254;881766	+;+	1104	602	1981	1744	1446	2677	786	1715	938	9571	0	1707	668	9	1184	11476	2897	1524	94	313	706	143	239	84569	74149	86018	48538	47764	62666
PBANKA_1317200	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	722581;722792;723047	722627;722903;726493	-;-;-	3606	180	578	1720	1434	1312	516	593	333	3428	2	972	518	34	1285	14817	3776	1933	177	571	685	103	156	76518	62050	71585	48780	56723	62632
PBANKA_0703500	PbANKA_07_v3	167639	170701	-	3063	64	242	632	375	1145	603	259	141	821	0	690	301	10	195	19305	4985	2368	281	89	160	42	70	26892	25828	21506	47120	52790	62613
PBANKA_1354900	PbANKA_13_v3	2069932	2071317	-	1386	4554	6034	6497	5382	12153	4787	6197	4894	27989	2	8365	3066	33	4351	10773	3097	1409	201	468	4143	178	393	70304	72301	76515	53898	49752	61885
PBANKA_0503300	PbANKA_05_v3	126963	131369	-	4407	127	493	1632	1165	786	330	382	130	764	2	482	443	15	947	15217	4050	2070	451	725	675	36	65	28881	25644	23845	49513	49595	61878
PBANKA_1231300	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1207251;1207465;1207766;1208006;1208234;1209177	1207350;1207535;1207869;1208066;1209093;1209309	+;+;+;+;+;+	1329	759	2630	1070	864	2290	445	1087	329	4057	2	1178	414	9	526	8362	2104	1049	53	71	398	31	49	63923	56869	67650	50141	59754	61759
PBANKA_0417200	PbANKA_04_v3;PbANKA_04_v3	645124;645305	645205;646083	-;-	861	1474	3440	4549	3352	8900	2612	4883	2097	17311	1	5640	1747	25	2766	9687	3069	1487	208	739	1654	270	611	42108	42000	41849	56622	56494	61435
PBANKA_1009200	PbANKA_10_v3	422856	427697	+	4842	25	94	290	250	170	86	74	17	109	2	86	61	2	1017	12447	3155	1549	280	916	526	18	32	15176	14202	13837	51267	49005	61432
PBANKA_1228300	PbANKA_12_v3	1088671	1101798	-	13128	2992	6196	3007	2298	4224	1966	5456	4040	1671	7	2284	1579	18	3058	14216	3867	1920	8522	4709	5365	426	566	14372	13962	13562	61706	49631	60927
PBANKA_0503500	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	134198;138497;138689;138957	138381;138589;138831;138970	-;-;-;-	4434	128	423	415	286	470	210	487	222	143	0	318	237	4	1381	19292	4244	1670	390	1057	1401	39	55	22978	20651	19211	43899	43109	59951
PBANKA_1434600	PbANKA_14_v3	1292289	1300325	+	8037	41	51	113	97	145	88	54	39	94	7	55	53	2	453	16172	3557	1414	297	574	240	25	27	12995	13037	10950	51316	53483	59304
PBANKA_1407900	PbANKA_14_v3	370391	373534	+	3144	36	107	696	483	339	172	132	81	962	1	228	168	20	487	15083	4150	2275	298	238	175	23	68	52149	46779	49256	47506	51939	58543
PBANKA_1035400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1439463;1440010;1440463	1439779;1440317;1440689	+;+;+	852	1355	4382	1549	1147	4676	1159	2481	1445	10815	0	2291	711	5	864	9089	2242	1092	78	163	674	60	92	59924	52041	63025	46373	46734	58139
PBANKA_1315300	PbANKA_13_v3;PbANKA_13_v3	645706;648495	648258;648581	-;-	2640	309	589	2493	1761	1759	884	1274	731	2155	0	1790	883	18	1744	13620	3284	1602	126	993	1411	74	126	70058	62304	61623	42867	43501	57378
PBANKA_1138900	PbANKA_11_v3;PbANKA_11_v3	1476741;1480244	1480069;1481483	+;+	4569	28	60	162	123	114	54	95	34	143	2	85	44	4	141	14120	3239	1636	173	110	115	13	38	22523	18673	18929	38163	47854	56909
PBANKA_1333700	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1354705;1354975;1355234;1355517;1355797;1357233	1354763;1355120;1355388;1355674;1357136;1357756	+;+;+;+;+;+	2382	143	421	1825	1193	2147	792	840	401	2935	1	1252	610	26	1659	9793	2649	1175	147	484	863	97	146	36436	28817	33189	51235	53103	56349
PBANKA_0812900	PbANKA_08_v3	574033	574809	-	777	196	445	340	225	622	126	288	72	672	0	391	108	8	368	6145	1415	833	47	95	314	43	77	16167	14718	16091	51155	49147	56230
PBANKA_1419300	PbANKA_14_v3	760254	762245	+	1992	30	120	556	293	1668	532	555	89	528	2	990	209	11	486	7806	1501	734	145	91	287	40	49	42910	40967	39623	42818	43672	54545
PBANKA_1437700	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	1427048;1427323;1427447;1427778;1428186;1428364;1428583	1427188;1427373;1427560;1427980;1428270;1428429;1428708	-;-;-;-;-;-;-	786	356	873	747	603	1797	456	1034	241	1549	1	1232	365	25	985	8033	2611	1340	158	281	703	67	156	39137	40019	40373	47928	43638	54168
PBANKA_0606200	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	303504;303820;304011;304170;304397;304618;305086;305277;305464	303720;303914;304073;304277;304480;304938;305148;305360;305541	-;-;-;-;-;-;-;-;-	1113	309	1180	2875	2110	4311	1540	1715	1103	21235	1	3032	1005	25	1142	9316	2856	1527	120	557	517	118	238	65336	64220	66565	45432	45119	53519
PBANKA_1417200	PbANKA_14_v3	682414	684834	-	2421	119	383	1554	1150	1767	701	554	255	1655	1	1091	516	8	1845	9995	2792	1336	298	820	1054	49	98	23292	21742	21641	45644	40646	53483
PBANKA_0916700	PbANKA_09_v3	634570	635361	+	792	1391	4903	2025	1342	7835	1570	5813	1215	6041	0	3321	832	16	1285	5187	1641	801	76	165	1446	115	144	37043	39067	40249	44240	36558	52598
PBANKA_0514300	PbANKA_05_v3	541764	544607	-	2844	233	1030	268	154	407	112	365	118	229	2	191	98	8	1234	9991	2974	1278	529	321	1661	89	163	4480	5915	4989	50771	38955	51938
PBANKA_0517600	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	643900;644675;644847;645003;645193;645363;645559;645723	644413;644736;644885;645064;645272;645426;645596;646279	+;+;+;+;+;+;+;+	1416	803	1722	6431	4057	9563	3849	2751	1296	12684	1	5380	2331	13	1051	8279	2280	1118	48	291	603	44	110	43624	44655	46154	40234	38362	51900
PBANKA_0704900	PbANKA_07_v3	236271	237140	+	870	375	902	1796	1249	3498	788	1202	298	2122	1	1490	482	1	1215	7985	2646	1199	93	397	867	50	135	37672	38930	35480	43551	38869	50809
PBANKA_1338900	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1524226;1524633;1524884	1524506;1524694;1525413	+;+;+	873	7000	21554	6303	4878	16270	6223	14413	10990	19488	1	8776	4020	13	1741	8951	2351	1312	105	312	1557	203	376	66486	53888	64791	46364	42074	50583
PBANKA_1437600	PbANKA_14_v3	1425602	1426156	+	555	3764	9070	4994	4352	11908	5744	7329	8017	24237	1	9380	3132	45	2170	12914	3631	1997	176	346	1932	133	244	55051	61077	61816	41605	43665	50071
PBANKA_0720900	PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3	764675;764873;765223;765404;765687;765960;766102;766262;766421	764789;765070;765289;765567;765785;765979;766145;766323;766449	+;+;+;+;+;+;+;+;+	798	1208	3047	1417	1253	2088	888	1660	1352	6507	1	1491	658	4	390	5913	1484	725	50	105	369	34	49	49087	48426	50020	39164	36077	49064
PBANKA_0830400	PbANKA_08_v3;PbANKA_08_v3	1152377;1153103	1152981;1153316	-;-	819	4273	11606	5122	4727	13444	4959	11140	6646	22479	1	8403	3140	34	2726	6658	2270	942	241	504	2746	180	370	44620	44849	46839	43232	40629	48218
PBANKA_1352500	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1995817;1995979;1996182;1996503;1996781;1997378;1997562;1997670;1997890;1998067;1998342	1995851;1996036;1996396;1996654;1997286;1997476;1997582;1997801;1997979;1998143;1998585	-;-;-;-;-;-;-;-;-;-;-	1629	9630	14777	4378	3233	11626	5370	16694	10043	9662	0	7810	3239	9	1888	6156	1809	834	288	430	1722	183	328	35778	32127	35852	37218	39033	47478
PBANKA_1303900	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	213529;213767;213966;214204;214534	213670;213828;214040;214344;220107	-;-;-;-;-	5994	40	224	718	409	1103	428	182	66	317	2	502	275	6	1017	18925	5130	2416	596	1012	577	61	84	18856	17628	16684	34369	45824	46354
PBANKA_1237100	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1406018;1406216;1407065;1425476	1406125;1406867;1425306;1433344	+;+;+;+	26871	64	227	575	413	390	188	135	90	247	7	279	189	6	1328	16341	4058	1774	562	2150	786	51	101	3773	4665	3951	39744	42561	46208
PBANKA_1040100	PbANKA_10_v3	1597122	1598447	-	1326	32	116	168	127	253	69	99	38	400	2	112	48	0	92	4951	805	301	26	38	112	4	10	27657	26263	25670	36615	37603	46141
PBANKA_0907100	PbANKA_09_v3	239305	240912	+	1608	279	1027	720	456	1633	381	1442	297	783	1	887	292	6	511	7993	2133	909	106	177	630	56	71	39343	36119	38594	37980	38270	46106
