Top 20 Gene Hits DE Genes

gene_id	logFC	logCPM	PValue	FDR	contrast	description
PBANKA_0943541	14.2924432268604	9.76793912735601	1.1522232628686e-09	3.56901155673549e-07	h24vs16	tRNA Leucine
PBANKA_0310700	-2.93711852421889	8.82148644261622	2.0878043288817e-09	6.08656367878688e-07	h24vs16	conserved protein, unknown function
PBANKA_0938050	11.8995090430914	8.770372548876	3.28054335169651e-09	9.03242936167106e-07	h24vs16	small nucleolar RNA snoR07
PBANKA_1124000	-3.03195955323242	8.39000732343295	3.78376565894205e-09	9.86965400300884e-07	h24vs16	sphingomyelin synthase 2, putative
PBANKA_1340000	3.44570481001657	6.40042974947723	8.9019287407019e-09	2.15439014337154e-06	h24vs16	dihydrofolate synthase/folylpolyglutamate synthase, putative

24h vs 12h
PBANKA_1408400	-11.37752836183	5.69873308639865	9.11381318916331e-13	4.51680581654934e-09	h24vs12	conserved Plasmodium protein, unknown function
PBANKA_1400051	-14.2773178492176	9.88001251652724	9.04409046864496e-12	2.18384168651883e-08	h24vs12	PIR protein
PBANKA_0722100	-17.2455085270924	12.9446781255056	1.32193806690002e-11	2.18384168651883e-08	h24vs12	PIR protein, pseudogene
PBANKA_1400061	-11.1401771380176	9.05426286640491	2.53437243222598e-11	3.14008744352799e-08	h24vs12	PIR protein
PBANKA_0201700	5.05811955596549	8.29807578597412	9.22785003091814e-10	9.14664495064606e-07	h24vs12	conserved Plasmodium protein, unknown function
PBANKA_0804341	-11.1283538228005	5.86990714636619	1.12041163054376e-09	9.25460006829143e-07	h24vs12	tRNA Histidine
PBANKA_0722700	-11.3230059632207	5.08382316587276	6.33215858420938e-08	4.48316827762024e-05	h24vs12	PIR protein, pseudogene
PBANKA_1300800	-3.1556474724635	6.77744166606015	1.61855056395313e-07	0.000100269207436897	h24vs12	cysteine repeat modular protein 4
PBANKA_0102900	-2.89263432932599	7.8061233627862	2.07088904709033e-07	0.000114036956859774	h24vs12	AP2 domain transcription factor, putative
PBANKA_0609600	3.56367661026386	9.73424551451661	1.06845425558028e-06	0.000529525929065585	h24vs12	HSP20-like chaperone, putative
PBANKA_0703400	3.95868147940136	6.3305431162093	1.2981778218576e-06	0.00058488811682966	h24vs12	conserved Plasmodium protein, unknown function
PBANKA_0832200	2.92513081961356	9.00837612681065	2.55902196078526e-06	0.000979988432983975	h24vs12	PUB domain-containing protein, putative
PBANKA_1243200	3.51947782507706	6.43620609066628	2.57059112768194e-06	0.000979988432983975	h24vs12	conserved Plasmodium protein, unknown function
PBANKA_1466141	12.9623658357289	9.21891047524197	6.12469618480387e-06	0.00204274268143126	h24vs12	fam-a protein
PBANKA_1215000	2.592017515233	6.54938102576133	6.18263523435611e-06	0.00204274268143126	h24vs12	survival motor neuron-like protein, putative
PBANKA_0620000	2.32903964985443	7.14246707349426	1.02730104458303e-05	0.00318206498559595	h24vs12	pre-mRNA-splicing factor CWC15, putative
PBANKA_0310600	3.01477854972785	7.89194883814587	2.42673332379388e-05	0.0070746413839544	h24vs12	conserved protein, unknown function
PBANKA_1126800	-2.75724822866979	11.0683452059065	2.80036229045548e-05	0.00769162227498007	h24vs12	HECT-domain (ubiquitin-transferase), putative
PBANKA_1013500	2.29922848192845	7.34401081434901	3.08016310495779e-05	0.00769162227498007	h24vs12	large subunit GTPase 1, putative
PBANKA_0410561	11.5810965602732	6.46799001831692	3.10396379135596e-05	0.00769162227498007	h24vs12	tRNA Isoleucine

16h vs 12h
PBANKA_1300800	-6.09445257115966	6.77744166606015	2.60715782555343e-22	1.29210741834428e-18	h16vs12	cysteine repeat modular protein 4
PBANKA_0102900	-4.65460142408156	7.8061233627862	2.13658673300169e-17	5.2944619243782e-14	h16vs12	AP2 domain transcription factor, putative
PBANKA_0201051	-4.7802486007794	6.78532455554572	1.94417990235388e-16	3.21178519868861e-13	h16vs12	conserved rodent malaria protein, unknown function
PBANKA_1019520	-11.1491484320663	10.4196813493889	5.78124822283206e-14	7.16296654808893e-11	h16vs12	small nucleolar RNA snoR26
PBANKA_1400061	-11.6173957884554	9.05426286640491	7.90165878004455e-14	7.45181710134932e-11	h16vs12	PIR protein
PBANKA_1331500	-3.469076230224	4.13615786330068	9.02157034061661e-14	7.45181710134932e-11	h16vs12	telomere length and silencing protein 1, putative
PBANKA_1408400	-9.92299092096634	5.69873308639865	1.18902114383999e-13	8.41826969838716e-11	h16vs12	conserved Plasmodium protein, unknown function
PBANKA_1019380	-14.0908734673476	10.5541189936934	1.81999208825458e-13	1.12748509867371e-10	h16vs12	small nucleolar RNA snoR27
PBANKA_1400051	-14.5010038846543	9.88001251652724	4.77323016256273e-13	2.62845874285121e-10	h16vs12	PIR protein
PBANKA_1363300	-3.05480803479985	5.15611480896447	8.30668382933498e-12	4.11679250581842e-09	h16vs12	conserved Plasmodium protein, unknown function
PBANKA_0722100	-15.9103621112394	12.9446781255056	3.08719729435524e-11	1.39092270825678e-08	h16vs12	PIR protein, pseudogene
PBANKA_1240100	3.85222305660672	9.26606976902611	7.29464037475831e-11	3.01268647477518e-08	h16vs12	conserved protein, unknown function
PBANKA_1114051	-14.1015860739234	11.6512430406629	1.78635921328434e-10	6.81015097002861e-08	h16vs12	tRNA Phenylalanine
PBANKA_1454800	-3.04610255222511	8.57931334381461	2.4052100311832e-10	7.94952187306939e-08	h16vs12	RNA-binding protein, putative
PBANKA_0201700	5.27616790563286	8.29807578597412	2.47144798084642e-10	7.94952187306939e-08	h16vs12	conserved Plasmodium protein, unknown function
PBANKA_0804341	-10.4472303668591	5.86990714636619	2.56643159743967e-10	7.94952187306939e-08	h16vs12	tRNA Histidine
PBANKA_0515100	-3.62975371567565	3.441811841995	3.15489191574372e-10	9.19743784377993e-08	h16vs12	conserved Plasmodium protein, unknown function
PBANKA_0600071	-12.3789511685681	10.4380101536923	3.86339561777372e-10	1.06372159342703e-07	h16vs12	conserved rodent malaria protein, unknown function
PBANKA_0703000	-3.24865074877806	4.82085093092489	6.12895639469268e-10	1.59868988905773e-07	h16vs12	magnesium transporter, putative
PBANKA_0722700	-11.3230059632207	5.08382316587276	7.0387986652469e-10	1.74421430924818e-07	h16vs12	PIR protein, pseudogene

16h vs 8h
PBANKA_0414800	2.6083590383699	6.03711234400124	1.24022844533327e-10	5.48005933394787e-07	h16vs8	arginase
PBANKA_0613400	3.17325385167224	6.04601648303756	2.87732462818048e-10	5.48005933394787e-07	h16vs8	ribosomal protein S12, mitochondrial, putative
PBANKA_1006400	3.42424918402589	8.83887160631977	3.31722719972631e-10	5.48005933394787e-07	h16vs8	conserved Plasmodium protein, unknown function
PBANKA_0201700	3.52364959330845	8.29807578597412	1.30564712147543e-09	1.58113238761902e-06	h16vs8	conserved Plasmodium protein, unknown function
PBANKA_0820600	2.63990581716497	5.39314258608057	1.59516988258578e-09	1.58113238761902e-06	h16vs8	pyridoxal phosphate homeostasis protein, putative
PBANKA_1002200	3.73929767574599	2.98944730930374	6.08892275884848e-09	5.02945019880884e-06	h16vs8	6-cysteine protein P52
PBANKA_1417200	-2.25470775984482	10.014206041368	8.45229566804349e-09	5.98422533297479e-06	h16vs8	protein AAP4, putative
PBANKA_1212800	2.89966667027016	3.80552709393391	1.31183931813965e-08	7.20545745192218e-06	h16vs8	MO15-related protein kinase
PBANKA_1303900	-2.91794083152274	10.2425486573386	1.32706530575761e-08	7.20545745192218e-06	h16vs8	conserved Plasmodium protein, unknown function
PBANKA_1349500	2.5741578938347	5.03586846821971	1.53716213705223e-08	7.20545745192218e-06	h16vs8	conserved Plasmodium protein, unknown function
PBANKA_1014700	2.33534581911444	5.661991757123	1.7404944416238e-08	7.20545745192218e-06	h16vs8	conserved protein, unknown function
PBANKA_1132300	-2.86141031146888	10.4576407286633	1.74466282128866e-08	7.20545745192218e-06	h16vs8	conserved Plasmodium protein, unknown function
PBANKA_1447800	2.37905026239907	6.2338292418998	2.21999911432813e-08	8.4633197004694e-06	h16vs8	conserved protein, unknown function
PBANKA_0703400	3.24785080427608	6.3305431162093	2.68124123611664e-08	9.49159397585292e-06	h16vs8	conserved Plasmodium protein, unknown function
PBANKA_1335000	-2.43937659607181	9.04059513455507	4.96824844491055e-08	1.64150928619845e-05	h16vs8	conserved Plasmodium protein, unknown function
PBANKA_0405700	2.43594608805004	6.21462117273096	1.57573385725114e-07	4.88083562283541e-05	h16vs8	ATP-dependent Clp protease proteolytic subunit, putative
PBANKA_1427900	2.19859621969191	4.53390820933046	1.70929032481759e-07	4.98308402929174e-05	h16vs8	histone acetyltransferase subunit NuA4, putative
PBANKA_0502000	-2.36200741729556	9.28333091817473	2.13725238915965e-07	5.88456824481957e-05	h16vs8	conserved Plasmodium protein, unknown function
PBANKA_0501800	2.61240417203516	7.78570478180438	2.51535214977281e-07	6.56109750224949e-05	h16vs8	myosin essential light chain ELC, putative
PBANKA_0106200	-2.01686677560194	7.23640445792612	2.72404847599901e-07	6.68049711266901e-05	h16vs8	spindle assembly abnormal protein 6

16h vs 4h
PBANKA_1145200	-3.41131704875209	8.92035338196205	2.42733026764165e-19	1.2029848806432e-15	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_1014700	3.67531222673907	5.661991757123	1.30519943952161e-18	3.23428421113455e-15	h16vs4	conserved protein, unknown function
PBANKA_0201700	5.33012766308923	8.29807578597412	7.84162192294022e-18	1.29543594166972e-14	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_1336800	3.65336449811417	8.40088626356111	1.73354519027912e-17	2.14786249075583e-14	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_0510700	4.76576924970544	6.8479257375631	3.96295855570034e-16	3.92808452041018e-13	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_1444800	-4.32959168991899	10.5344983591326	6.41912612103116e-16	5.30219817597173e-13	h16vs4	thioredoxin-like associated protein 1, putative
PBANKA_0907900	-4.69413388652874	11.6761324204541	8.58551546432425e-16	6.07854494874157e-13	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_1451400	9.77368122906879	7.63779743825495	1.0463003019002e-15	6.48183037027173e-13	h16vs4	protein-S-isoprenylcysteine O-methyltransferase, putative
PBANKA_1417200	-2.97187149349606	10.014206041368	8.30215443774478e-15	4.57171971038479e-12	h16vs4	protein AAP4, putative
PBANKA_0820600	3.41054252266262	5.39314258608057	1.12150410011128e-14	5.55817432015148e-12	h16vs4	pyridoxal phosphate homeostasis protein, putative
PBANKA_1132300	-3.91710911760031	10.4576407286633	2.53387431510138e-14	1.1416255550584e-11	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_1304300	-2.9453617314462	6.91891555212108	8.28563615908144e-14	3.24204808518627e-11	h16vs4	zinc finger protein, putative
PBANKA_1002200	5.37843667262149	2.98944730930374	8.50416164395107e-14	3.24204808518627e-11	h16vs4	6-cysteine protein P52
PBANKA_0912500	-3.19439186591079	9.53253303937051	1.14080821691056e-13	4.0384610878634e-11	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_0608000	3.02530255027496	7.74762630344173	1.23634942906034e-13	4.08489851361538e-11	h16vs4	porphobilinogen deaminase
PBANKA_1463300	-3.21986185276028	11.5426218231247	2.22448132207643e-13	6.89033089513173e-11	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_0613400	3.65477748938612	6.04601648303756	6.1480481747463e-13	1.79233686788486e-10	h16vs4	ribosomal protein S12, mitochondrial, putative
PBANKA_0502000	-3.2170451950904	9.28333091817473	8.61562091472517e-13	2.30734690684376e-10	h16vs4	conserved Plasmodium protein, unknown function
PBANKA_0609600	4.02930950891624	9.73424551451661	8.8457609422985e-13	2.30734690684376e-10	h16vs4	HSP20-like chaperone, putative
PBANKA_1215000	3.21260696355025	6.54938102576133	1.11839885370732e-12	2.77139235948673e-10	h16vs4	survival motor neuron-like protein, putative

12h vs 8h
PBANKA_0201051	5.23478928420985	6.78532455554572	9.25264602943526e-19	4.58561137218811e-15	h12vs8	conserved rodent malaria protein, unknown function
PBANKA_1300800	4.86678974760765	6.77744166606015	1.1359852387887e-15	2.8149714217184e-12	h12vs8	cysteine repeat modular protein 4
PBANKA_1125100	3.96211352336939	6.29901207675434	1.69950092332884e-14	2.80757552533924e-11	h12vs8	3-oxoacyl-acyl-carrier protein synthase, putative
PBANKA_1019520	11.2046951301231	10.4196813493889	1.21205620466033e-13	1.50173763757414e-10	h12vs8	small nucleolar RNA snoR26
PBANKA_1019380	13.7915423217458	10.5541189936934	5.86295608711392e-13	5.81136207354732e-10	h12vs8	small nucleolar RNA snoR27
PBANKA_1408400	9.48129163074456	5.69873308639865	1.45042622611059e-12	1.15261225223529e-09	h12vs8	conserved Plasmodium protein, unknown function
PBANKA_1331500	3.37388268525263	4.13615786330068	1.78903779606059e-12	1.15261225223529e-09	h12vs8	telomere length and silencing protein 1, putative
PBANKA_1400061	10.8502880386606	9.05426286640491	1.86055246527084e-12	1.15261225223529e-09	h12vs8	PIR protein
PBANKA_1400051	13.7397432637238	9.88001251652724	3.9972871125936e-12	2.20117277000154e-09	h12vs8	PIR protein
PBANKA_0722100	15.7304156190496	12.9446781255056	4.48632039406165e-11	2.22342038729695e-08	h12vs8	PIR protein, pseudogene
PBANKA_0703500	-4.76283729340386	10.5530333928687	1.10547997821622e-10	4.71700261337473e-08	h12vs8	conserved Plasmodium protein, unknown function
PBANKA_1364800	3.5307870431481	6.4723968374527	1.14213138338371e-10	4.71700261337473e-08	h12vs8	ABC transporter B family member 6, putative
PBANKA_0804341	10.7611377040058	5.86990714636619	1.89570921076904e-10	7.22702680659336e-08	h12vs8	tRNA Histidine
PBANKA_1114051	13.9073350785547	11.6512430406629	3.17424470174911e-10	1.12368262441918e-07	h12vs8	tRNA Phenylalanine
PBANKA_1462500	3.67605317982731	4.28957893853534	3.87485329689588e-10	1.2802515292944e-07	h12vs8	leucine-rich repeat protein
PBANKA_0600071	12.307766660793	10.4380101536923	6.36949289119467e-10	1.97295042304755e-07	h12vs8	conserved rodent malaria protein, unknown function
PBANKA_1421700	-3.89268887237282	9.77264668519235	1.40394479368953e-09	4.09291199854431e-07	h12vs8	secreted ookinete protein, putative
PBANKA_1001800	3.3839658550371	6.22638671946852	2.00783671635893e-09	5.52824375904158e-07	h12vs8	AP2 domain transcription factor AP2-SP2
PBANKA_1433700	2.68752015176255	7.09087107371519	3.28528675744125e-09	8.38781480932018e-07	h12vs8	conserved Plasmodium protein, unknown function
PBANKA_1024500	3.16291053547058	3.22444460397778	3.54784067111548e-09	8.38781480932018e-07	h12vs8	conserved Plasmodium protein, unknown function

8h vs 4h
PBANKA_1451400	9.64524836016403	7.63779743825495	1.92409504648572e-15	9.53581505038323e-12	h8vs4	protein-S-isoprenylcysteine O-methyltransferase, putative
PBANKA_1462300	2.56292712565374	5.08468864353037	2.0260483819024e-08	5.02054789035414e-05	h8vs4	conserved Plasmodium protein, unknown function
PBANKA_1019540	5.30983288728671	3.58949095402649	1.26494851549653e-05	0.0208969494760027	h8vs4	small nucleolar RNA snoR25
PBANKA_0604000	2.14044798426544	5.06062049094403	2.21250989339874e-05	0.0231523605972492	h8vs4	conserved Plasmodium protein, unknown function
PBANKA_0405310	7.97736166406341	5.57982005051559	2.44229082110341e-05	0.0231523605972492	h8vs4	small nucleolar RNA snoR03
PBANKA_1436500	-1.72185737480998	8.52764912283876	3.22083484125089e-05	0.0231523605972492	h8vs4	conserved Plasmodium protein, unknown function
PBANKA_1336800	1.85702359640803	8.40088626356111	3.27010742899e-05	0.0231523605972492	h8vs4	conserved Plasmodium protein, unknown function
PBANKA_1145200	-1.64891858461164	8.92035338196205	4.81235585030205e-05	0.0298125444926212	h8vs4	conserved Plasmodium protein, unknown function
PBANKA_1221500	1.72080641722998	8.08137272119727	5.77833648249314e-05	0.031270050916305	h8vs4	50S ribosomal protein L1, mitochondrial, putative
PBANKA_1444800	-2.09294995820956	10.5344983591326	6.3095340831931e-05	0.031270050916305	h8vs4	thioredoxin-like associated protein 1, putative
PBANKA_0820400	2.13683219603834	2.75424231845648	7.17989820323643e-05	0.0323487049956725	h8vs4	major facilitator superfamily domain-containing protein, putative
PBANKA_1243200	2.18694985033584	6.43620609066628	0.000100803770939909	0.0416244577239092	h8vs4	conserved Plasmodium protein, unknown function
PBANKA_0820200	2.566240379622	11.4603357550478	0.000109184412915823	0.0416244577239092	h8vs4	thioredoxin-like protein 1, putative
PBANKA_0510700	2.15360601815651	6.8479257375631	0.00013976459737796	0.0494766674717978	h8vs4	conserved Plasmodium protein, unknown function
PBANKA_1146781	5.69253808961117	3.38160556716575	0.000191273898934119	0.059825776860023	h8vs4	fam-b protein
PBANKA_0835800	1.73265116768693	5.86895208397774	0.000193142136755522	0.059825776860023	h8vs4	U2 small nuclear ribonucleoprotein B'', putative
PBANKA_0609600	2.03302705242803	9.73424551451661	0.000242217741605897	0.068649278249185	h8vs4	HSP20-like chaperone, putative
PBANKA_1448300	1.79058062188848	3.28218112792467	0.000249331519064837	0.068649278249185	h8vs4	homocysteine S-methyltransferase, putative
PBANKA_0600021	5.983819077911	1.38516762896089	0.000341031423345762	0.0889553544263999	h8vs4	fam-a protein
PBANKA_0502500	-1.71187406836642	10.2483734920218	0.000445379262608586	0.110364981274408	h8vs4	serine/threonine protein phosphatase 8

4h vs 0h
PBANKA_0701900	6.97912886082277	10.2722532713615	8.16637868267904e-57	4.04725727513573e-53	h4vs0	GPI-anchored micronemal antigen, putative
PBANKA_0800500	9.77687182273203	16.0863423141136	1.05844457725751e-48	2.62282566244411e-45	h4vs0	chitinase
PBANKA_0511000	4.86103295216695	7.39947363481628	3.55722523536551e-38	5.87653608882383e-35	h4vs0	biotin--protein ligase 1
PBANKA_1214400	-4.32832624984757	9.02398373431695	4.68321280778766e-35	5.80250066884891e-32	h4vs0	conserved Plasmodium protein, unknown function
PBANKA_1225400	7.63288621335437	11.4143673703095	7.01944187934727e-35	6.95767079080902e-32	h4vs0	gamete release protein
PBANKA_1208800	6.19535215183109	8.14400135240273	7.13784056070548e-34	5.89585630314272e-31	h4vs0	MORN repeat protein, putative
PBANKA_0600031	5.11975425456119	2.85273141265146	1.74224828214403e-31	1.23351178375798e-28	h4vs0	PIR protein
PBANKA_0836900	4.44100761216289	3.54545205911271	3.00248504270268e-30	1.66897151581972e-27	h4vs0	PIR protein
PBANKA_0711400	4.78426264540383	9.59447879865299	3.03081994398254e-30	1.66897151581972e-27	h4vs0	perforin-like protein 4
PBANKA_1420800	-5.06396833471926	9.31209678213802	2.3517217694869e-29	1.16551330895771e-26	h4vs0	conserved Plasmodium protein, unknown function
PBANKA_0706500	4.68896886029408	7.93201300337467	1.06894370715377e-28	4.43362480301929e-26	h4vs0	3'-5' exonuclease, putative
PBANKA_0832800	6.11240945081105	8.36456875485065	1.07351690145745e-28	4.43362480301929e-26	h4vs0	conserved Plasmodium protein, unknown function
PBANKA_1453100	-4.37726392858971	9.35749003369207	1.74634764085915e-28	6.65761454469074e-26	h4vs0	sphingomyelin phosphodiesterase, putative
PBANKA_1034500	6.18630012130723	9.90163501257582	8.84130925528923e-28	3.12982347637239e-25	h4vs0	conserved protein, unknown function
PBANKA_0939000	-4.24354155118583	10.4227390862082	1.5060419182124e-27	4.97596249777375e-25	h4vs0	mechanosensitive ion channel protein, putative
PBANKA_0603900	4.42423791808637	8.17307024123679	8.09491252126244e-27	2.50739915346104e-24	h4vs0	HAD domain ookinete protein
PBANKA_1040100	-4.36683960372284	9.84890700378392	9.73599122713945e-26	2.8383277953943e-23	h4vs0	choline kinase
PBANKA_0706600	4.00261378880607	9.68287065617089	2.7381267328462e-25	7.53897560443654e-23	h4vs0	conserved Plasmodium protein, unknown function
PBANKA_0908600	6.32745705151706	9.24164600451751	3.70747603954603e-25	9.58635540488295e-23	h4vs0	conserved Plasmodium protein, unknown function
PBANKA_1005600	-4.99156237678614	6.60707252460679	3.86858571625623e-25	9.58635540488295e-23	h4vs0	conserved Plasmodium protein, unknown function
